actions,blocked_time_s,charge_trips,condition_percent,decision_ms,delivered_by_section,delivered_units,distance_m,end_battery_percent,energy_wh,lost_by_section,lost_units,min_battery_percent,policy,produced_units,scenario,score,seed,shift_s,split,violation_count,violations,wh_per_unit
63,"{'A': 0.0, 'B': 0.0, 'C': 288.4}",0,99.9,1.369,"{'A': 19, 'B': 30, 'C': 4}",53,678.8,55.1,9.884,"{'A': 0.0, 'B': 0.0, 'C': 0.4}",0.4,55.1,ns,53,small_buffers,47.66,5001,3600.6,unseen,0,,0.1865
64,"{'A': 0.0, 'B': 0.0, 'C': 263.1}",0,99.9,1.791,"{'A': 20, 'B': 29, 'C': 4}",53,655.5,55.8,9.729,"{'A': 0.0, 'B': 0.0, 'C': 0.37}",0.37,55.8,ns,52,small_buffers,47.77,5002,3600.8,unseen,0,,0.1836
64,"{'A': 0.0, 'B': 0.0, 'C': 291.0}",0,99.91,1.206,"{'A': 20, 'B': 20, 'C': 4}",44,603.7,57.2,9.412,"{'A': 0.0, 'B': 0.0, 'C': 0.4}",0.4,57.2,ns,45,small_buffers,38.89,5003,3601.0,unseen,0,,0.2139
63,"{'A': 0.0, 'B': 0.0, 'C': 327.1}",0,99.9,1.583,"{'A': 22, 'B': 28, 'C': 4}",54,678.9,54.7,9.96,"{'A': 0.0, 'B': 0.0, 'C': 0.45}",0.45,54.7,ns,54,small_buffers,48.57,5004,3600.9,unseen,0,,0.1844
63,"{'A': 0.0, 'B': 0.0, 'C': 295.9}",0,99.9,1.232,"{'A': 20, 'B': 30, 'C': 3}",53,674.6,55.3,9.829,"{'A': 0.0, 'B': 0.0, 'C': 0.41}",0.41,55.3,ns,52,small_buffers,47.67,5005,3600.7,unseen,0,,0.1855
64,"{'A': 0.0, 'B': 0.0, 'C': 348.6}",0,99.9,1.301,"{'A': 21, 'B': 29, 'C': 5}",55,667.2,55.4,9.82,"{'A': 0.0, 'B': 0.0, 'C': 0.48}",0.48,55.4,ns,55,small_buffers,49.61,5006,3600.7,unseen,0,,0.1785
63,"{'A': 0.0, 'B': 0.0, 'C': 284.1}",0,99.9,1.395,"{'A': 20, 'B': 30, 'C': 4}",54,670.1,55.2,9.861,"{'A': 0.0, 'B': 0.0, 'C': 0.39}",0.39,55.2,ns,53,small_buffers,48.67,5007,3600.1,unseen,0,,0.1826
63,"{'A': 0.0, 'B': 0.0, 'C': 289.8}",0,99.9,1.357,"{'A': 20, 'B': 30, 'C': 4}",54,643.8,55.8,9.716,"{'A': 0.0, 'B': 0.0, 'C': 0.4}",0.4,55.8,ns,54,small_buffers,48.74,5008,3600.8,unseen,0,,0.1799
63,"{'A': 0.0, 'B': 0.0, 'C': 346.6}",0,99.9,1.41,"{'A': 20, 'B': 28, 'C': 4}",52,665.2,55.4,9.811,"{'A': 0.0, 'B': 0.0, 'C': 0.48}",0.48,55.4,ns,52,small_buffers,46.61,5009,3600.6,unseen,0,,0.1887
61,"{'A': 0.0, 'B': 0.0, 'C': 341.3}",2,99.91,1.174,"{'A': 15, 'B': 31, 'C': 4}",50,637.6,61.9,9.345,"{'A': 0.0, 'B': 0.0, 'C': 0.47}",0.47,61.9,ns,48,small_buffers,44.85,5010,3600.9,unseen,0,,0.1869
63,"{'A': 0.0, 'B': 0.0, 'C': 316.2}",0,99.9,1.576,"{'A': 19, 'B': 29, 'C': 4}",52,658.6,55.5,9.781,"{'A': 0.0, 'B': 0.0, 'C': 0.44}",0.44,55.5,ns,52,small_buffers,46.67,5011,3600.7,unseen,0,,0.1881
64,"{'A': 0.0, 'B': 0.0, 'C': 347.7}",0,99.9,1.35,"{'A': 20, 'B': 28, 'C': 4}",52,658.7,55.7,9.749,"{'A': 0.0, 'B': 0.0, 'C': 0.48}",0.48,55.7,ns,52,small_buffers,46.64,5012,3601.0,unseen,0,,0.1875
62,"{'A': 0.0, 'B': 0.0, 'C': 293.4}",0,99.9,1.453,"{'A': 19, 'B': 30, 'C': 4}",53,685.8,54.7,9.966,"{'A': 0.0, 'B': 0.0, 'C': 0.41}",0.41,54.7,ns,52,small_buffers,47.61,5013,3600.6,unseen,0,,0.188
63,"{'A': 0.0, 'B': 0.0, 'C': 387.1}",0,99.9,1.468,"{'A': 19, 'B': 29, 'C': 4}",52,660.3,55.6,9.768,"{'A': 0.0, 'B': 0.0, 'C': 0.54}",0.54,55.6,ns,53,small_buffers,46.58,5014,3600.1,unseen,0,,0.1878
64,"{'A': 0.0, 'B': 0.0, 'C': 125.7}",0,99.9,1.788,"{'A': 20, 'B': 30, 'C': 2}",52,667.1,55.6,9.771,"{'A': 0.0, 'B': 0.0, 'C': 0.17}",0.17,55.6,ns,51,small_buffers,46.94,5015,3600.4,unseen,0,,0.1879
63,"{'A': 0.0, 'B': 0.0, 'C': 312.9}",0,99.9,1.405,"{'A': 20, 'B': 30, 'C': 4}",54,655.4,55.4,9.806,"{'A': 0.0, 'B': 0.0, 'C': 0.43}",0.43,55.4,ns,54,small_buffers,48.66,5016,3600.6,unseen,0,,0.1816
63,"{'A': 0.0, 'B': 0.0, 'C': 322.8}",0,99.9,1.464,"{'A': 21, 'B': 30, 'C': 4}",55,671.3,55.1,9.87,"{'A': 0.0, 'B': 0.0, 'C': 0.45}",0.45,55.1,ns,54,small_buffers,49.62,5017,3600.3,unseen,0,,0.1795
63,"{'A': 0.0, 'B': 0.0, 'C': 387.8}",0,99.9,1.316,"{'A': 20, 'B': 29, 'C': 3}",52,667.0,55.4,9.814,"{'A': 0.0, 'B': 0.0, 'C': 0.54}",0.54,55.4,ns,53,small_buffers,46.55,5018,3600.3,unseen,0,,0.1887
64,"{'A': 0.0, 'B': 0.0, 'C': 260.4}",0,99.9,1.386,"{'A': 20, 'B': 28, 'C': 3}",51,667.2,55.5,9.795,"{'A': 0.0, 'B': 0.0, 'C': 0.36}",0.36,55.5,ns,54,small_buffers,45.74,5019,3600.7,unseen,0,,0.1921
63,"{'A': 0.0, 'B': 0.0, 'C': 395.3}",0,99.9,1.412,"{'A': 20, 'B': 29, 'C': 4}",53,678.8,55.0,9.904,"{'A': 0.0, 'B': 0.0, 'C': 0.55}",0.55,55.0,ns,53,small_buffers,47.5,5020,3600.5,unseen,0,,0.1869
63,"{'A': 0.0, 'B': 0.0, 'C': 267.8}",0,99.9,1.341,"{'A': 20, 'B': 28, 'C': 4}",52,655.7,55.7,9.737,"{'A': 0.0, 'B': 0.0, 'C': 0.37}",0.37,55.7,ns,53,small_buffers,46.76,5021,3600.2,unseen,0,,0.1873
64,"{'A': 0.0, 'B': 0.0, 'C': 309.6}",0,99.9,1.337,"{'A': 19, 'B': 30, 'C': 4}",53,632.1,56.2,9.646,"{'A': 0.0, 'B': 0.0, 'C': 0.43}",0.43,56.2,ns,53,small_buffers,47.75,5022,3600.7,unseen,0,,0.182
64,"{'A': 0.0, 'B': 0.0, 'C': 283.9}",0,99.9,1.341,"{'A': 21, 'B': 30, 'C': 4}",55,667.0,55.4,9.815,"{'A': 0.0, 'B': 0.0, 'C': 0.39}",0.39,55.4,ns,54,small_buffers,49.7,5023,3600.3,unseen,0,,0.1785
63,"{'A': 0.0, 'B': 0.0, 'C': 293.7}",0,99.9,1.322,"{'A': 19, 'B': 32, 'C': 4}",55,663.9,55.5,9.801,"{'A': 0.0, 'B': 0.0, 'C': 0.41}",0.41,55.5,ns,54,small_buffers,49.69,5024,3600.4,unseen,0,,0.1782
63,"{'A': 0.0, 'B': 0.0, 'C': 440.5}",0,99.9,1.445,"{'A': 19, 'B': 27, 'C': 5}",51,667.0,55.3,9.834,"{'A': 0.0, 'B': 0.0, 'C': 0.61}",0.61,55.3,ns,52,small_buffers,45.47,5025,3600.3,unseen,0,,0.1928
62,"{'A': 0.0, 'B': 0.0, 'C': 360.0}",0,99.9,1.32,"{'A': 20, 'B': 30, 'C': 4}",54,681.2,54.8,9.941,"{'A': 0.0, 'B': 0.0, 'C': 0.5}",0.5,54.8,ns,55,small_buffers,48.53,5026,3600.7,unseen,0,,0.1841
64,"{'A': 0.0, 'B': 0.0, 'C': 334.2}",0,99.9,1.254,"{'A': 13, 'B': 28, 'C': 4}",45,634.5,56.5,9.563,"{'A': 0.0, 'B': 0.0, 'C': 0.46}",0.46,56.5,ns,46,small_buffers,39.75,5027,3600.1,unseen,0,,0.2125
64,"{'A': 0.0, 'B': 0.0, 'C': 238.6}",0,99.9,1.408,"{'A': 21, 'B': 30, 'C': 4}",55,665.7,55.2,9.866,"{'A': 0.0, 'B': 0.0, 'C': 0.33}",0.33,55.2,ns,55,small_buffers,49.74,5028,3600.8,unseen,0,,0.1794
63,"{'A': 0.0, 'B': 0.0, 'C': 332.8}",0,99.9,1.575,"{'A': 12, 'B': 31, 'C': 4}",47,635.2,56.4,9.598,"{'A': 0.0, 'B': 0.0, 'C': 0.46}",0.46,56.4,ns,47,small_buffers,41.74,5029,3600.8,unseen,0,,0.2042
60,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",2,44.91,1.71,"{'A': 20, 'B': 32, 'C': 4}",56,522.9,68.5,8.71,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,67.7,ns,56,worn_robot,51.64,5000,3600.8,seen,0,,0.1555
59,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",3,44.92,2.048,"{'A': 19, 'B': 28, 'C': 4}",51,484.3,72.9,8.274,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,68.1,ns,53,worn_robot,46.86,5001,3600.7,seen,0,,0.1622
49,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",5,44.93,2.047,"{'A': 19, 'B': 31, 'C': 4}",54,405.5,93.7,6.818,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,88.7,ns,54,worn_robot,50.59,5002,3600.6,seen,0,,0.1263
61,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",2,44.92,1.701,"{'A': 20, 'B': 21, 'C': 4}",45,437.8,69.1,8.163,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,67.7,ns,46,worn_robot,40.92,5003,3600.6,seen,0,,0.1814
61,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",3,44.91,1.894,"{'A': 20, 'B': 29, 'C': 4}",53,523.0,68.6,8.687,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,68.0,ns,52,worn_robot,48.66,5004,3600.1,seen,0,,0.1639
51,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",9,44.93,2.127,"{'A': 20, 'B': 29, 'C': 3}",52,442.8,96.8,6.734,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,95.4,ns,52,worn_robot,48.63,5005,3600.4,seen,0,,0.1295
59,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",3,44.92,1.836,"{'A': 18, 'B': 29, 'C': 4}",51,481.7,73.0,8.286,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,68.1,ns,54,worn_robot,46.86,5006,3600.0,seen,0,,0.1625
60,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",3,44.91,1.71,"{'A': 19, 'B': 30, 'C': 4}",53,525.1,69.7,8.58,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,69.7,ns,52,worn_robot,48.71,5007,3600.3,seen,0,,0.1619
51,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",7,44.93,1.741,"{'A': 19, 'B': 29, 'C': 4}",52,430.4,93.6,6.718,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,93.6,ns,52,worn_robot,48.64,5008,3600.6,seen,0,,0.1292
50,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",8,44.93,1.772,"{'A': 18, 'B': 28, 'C': 4}",50,431.0,95.5,6.69,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,94.0,ns,50,worn_robot,46.65,5009,3600.1,seen,0,,0.1338
58,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",4,44.92,1.552,"{'A': 14, 'B': 29, 'C': 4}",47,467.5,75.7,8.052,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,66.9,ns,48,worn_robot,42.97,5010,3600.7,seen,0,,0.1713
60,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",2,44.92,1.758,"{'A': 17, 'B': 30, 'C': 4}",51,493.8,69.5,8.496,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,67.7,ns,54,worn_robot,46.75,5011,3600.2,seen,0,,0.1666
49,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",4,44.93,1.751,"{'A': 19, 'B': 32, 'C': 4}",55,416.0,93.9,6.782,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,88.7,ns,55,worn_robot,51.61,5012,3600.8,seen,0,,0.1233
59,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",3,44.92,1.839,"{'A': 19, 'B': 29, 'C': 4}",52,494.8,72.2,8.286,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,70.1,ns,53,worn_robot,47.86,5013,3600.7,seen,0,,0.1593
51,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",9,44.93,2.184,"{'A': 19, 'B': 30, 'C': 4}",53,471.9,92.9,7.184,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,92.9,ns,51,worn_robot,49.41,5014,3600.0,seen,0,,0.1356
59,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",2,44.91,1.919,"{'A': 19, 'B': 30, 'C': 2}",51,510.7,69.1,8.594,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,66.7,ns,53,worn_robot,46.7,5015,3600.5,seen,0,,0.1685
49,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",4,44.93,1.852,"{'A': 19, 'B': 31, 'C': 4}",54,377.9,95.5,6.634,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,91.3,ns,55,worn_robot,50.68,5016,3600.9,seen,0,,0.1228
56,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",3,44.92,1.794,"{'A': 21, 'B': 30, 'C': 4}",55,493.2,76.4,8.096,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,76.4,ns,55,worn_robot,50.95,5017,3600.5,seen,0,,0.1472
51,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",7,44.93,1.943,"{'A': 20, 'B': 29, 'C': 3}",52,420.1,95.1,6.606,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,95.1,ns,52,worn_robot,48.7,5018,3600.1,seen,0,,0.127
52,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",11,44.93,1.539,"{'A': 21, 'B': 30, 'C': 4}",55,435.0,97.4,6.686,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,96.1,ns,53,worn_robot,51.66,5019,3600.4,seen,0,,0.1216
49,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",4,44.93,1.651,"{'A': 20, 'B': 32, 'C': 3}",55,388.0,93.9,6.69,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,89.5,ns,54,worn_robot,51.66,5020,3600.0,seen,0,,0.1216
60,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",2,44.91,1.755,"{'A': 18, 'B': 27, 'C': 4}",49,511.2,69.5,8.6,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,67.2,ns,53,worn_robot,44.7,5021,3600.8,seen,0,,0.1755
56,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",4,44.92,1.915,"{'A': 18, 'B': 31, 'C': 5}",54,447.1,77.8,7.846,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,77.3,ns,53,worn_robot,50.08,5022,3600.5,seen,0,,0.1453
60,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",2,44.91,1.801,"{'A': 21, 'B': 28, 'C': 4}",53,480.8,68.6,8.502,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,68.5,ns,54,worn_robot,48.75,5023,3600.8,seen,0,,0.1604
50,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",6,44.93,1.782,"{'A': 19, 'B': 32, 'C': 4}",55,399.2,95.3,6.706,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,90.2,ns,54,worn_robot,51.65,5024,3600.6,seen,0,,0.1219
55,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",4,44.93,1.675,"{'A': 18, 'B': 29, 'C': 5}",52,408.1,81.2,7.473,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,79.0,ns,53,worn_robot,48.26,5025,3600.3,seen,0,,0.1437
64,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",1,44.91,1.882,"{'A': 18, 'B': 29, 'C': 5}",52,547.1,59.2,9.328,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,57.6,ns,54,worn_robot,47.34,5026,3600.9,seen,0,,0.1794
50,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",5,44.93,2.367,"{'A': 13, 'B': 31, 'C': 4}",48,443.5,92.4,6.951,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,90.7,ns,47,worn_robot,44.52,5027,3600.3,seen,0,,0.1448
56,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",5,44.92,1.635,"{'A': 20, 'B': 29, 'C': 4}",53,430.3,81.7,7.527,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,79.1,ns,54,worn_robot,49.24,5028,3600.5,seen,0,,0.142
53,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",5,44.93,1.735,"{'A': 15, 'B': 30, 'C': 4}",49,391.7,88.9,6.756,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,88.9,ns,48,worn_robot,45.62,5029,3600.4,seen,0,,0.1379
59,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",1,99.92,2.091,"{'A': 19, 'B': 31, 'C': 4}",54,451.5,41.3,7.977,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,41.3,ns_unbounded,52,aged_battery,50.01,5000,3600.8,unseen,0,,0.1477
57,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",2,99.92,2.084,"{'A': 20, 'B': 31, 'C': 4}",55,441.8,42.0,7.996,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,42.0,ns_unbounded,53,aged_battery,51.0,5001,3600.8,unseen,0,,0.1454
57,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",1,99.92,1.875,"{'A': 21, 'B': 30, 'C': 4}",55,455.8,40.3,8.093,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,40.3,ns_unbounded,54,aged_battery,50.95,5002,3600.6,unseen,0,,0.1471
53,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",4,99.94,1.686,"{'A': 18, 'B': 24, 'C': 5}",47,359.1,62.5,6.389,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,62.5,ns_unbounded,45,aged_battery,43.81,5003,3600.7,unseen,0,,0.1359
56,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",2,99.92,1.808,"{'A': 21, 'B': 30, 'C': 4}",55,439.3,43.0,7.918,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,41.3,ns_unbounded,54,aged_battery,51.04,5004,3600.4,unseen,0,,0.144
57,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",1,99.92,1.681,"{'A': 21, 'B': 32, 'C': 4}",57,445.9,40.4,8.039,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,40.4,ns_unbounded,54,aged_battery,52.98,5005,3600.4,unseen,0,,0.141
57,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",1,99.92,1.964,"{'A': 20, 'B': 30, 'C': 4}",54,429.3,41.8,7.921,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,41.8,ns_unbounded,54,aged_battery,50.04,5006,3600.9,unseen,0,,0.1467
55,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",2,99.92,1.834,"{'A': 19, 'B': 33, 'C': 5}",57,444.6,48.9,7.638,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,48.9,ns_unbounded,57,aged_battery,53.18,5007,3600.9,unseen,0,,0.134
57,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",1,99.92,1.752,"{'A': 19, 'B': 31, 'C': 4}",54,447.8,39.4,8.146,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,39.4,ns_unbounded,53,aged_battery,49.93,5008,3600.2,unseen,0,,0.1509
45,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",5,99.95,1.669,"{'A': 21, 'B': 29, 'C': 4}",54,350.2,82.1,5.142,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,82.1,ns_unbounded,52,aged_battery,51.43,5009,3600.0,unseen,0,,0.0952
57,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",1,99.92,1.84,"{'A': 14, 'B': 31, 'C': 4}",49,430.3,42.0,7.89,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,42.0,ns_unbounded,49,aged_battery,45.05,5010,3600.5,unseen,0,,0.161
58,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",1,99.92,1.728,"{'A': 19, 'B': 32, 'C': 4}",55,451.5,41.2,7.99,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,41.2,ns_unbounded,53,aged_battery,51.0,5011,3600.7,unseen,0,,0.1453
58,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",1,99.92,1.771,"{'A': 19, 'B': 31, 'C': 5}",55,427.8,41.7,7.932,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,41.7,ns_unbounded,55,aged_battery,51.03,5012,3600.9,unseen,0,,0.1442
58,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",1,99.92,2.064,"{'A': 19, 'B': 31, 'C': 4}",54,486.4,39.3,8.213,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,39.3,ns_unbounded,54,aged_battery,49.89,5013,3600.2,unseen,0,,0.1521
57,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",1,99.92,2.08,"{'A': 21, 'B': 31, 'C': 4}",56,442.0,40.5,8.074,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,40.5,ns_unbounded,55,aged_battery,51.96,5014,3600.5,unseen,0,,0.1442
47,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",4,99.94,1.858,"{'A': 19, 'B': 29, 'C': 3}",51,407.0,69.5,6.223,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,69.5,ns_unbounded,52,aged_battery,47.89,5015,3600.7,unseen,0,,0.122
57,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",1,99.92,1.752,"{'A': 18, 'B': 31, 'C': 4}",53,439.9,40.7,8.052,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,40.7,ns_unbounded,54,aged_battery,48.97,5016,3600.9,unseen,0,,0.1519
58,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",1,99.92,1.797,"{'A': 20, 'B': 32, 'C': 4}",56,428.0,41.6,7.941,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,41.6,ns_unbounded,54,aged_battery,52.03,5017,3600.4,unseen,0,,0.1418
57,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",1,99.92,1.733,"{'A': 20, 'B': 30, 'C': 5}",55,434.4,40.3,8.055,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,40.3,ns_unbounded,56,aged_battery,50.97,5018,3601.0,unseen,0,,0.1465
45,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",3,99.94,1.413,"{'A': 20, 'B': 31, 'C': 4}",55,360.8,77.1,5.58,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,77.1,ns_unbounded,53,aged_battery,52.21,5019,3600.1,unseen,0,,0.1015
39,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",5,99.94,1.572,"{'A': 18, 'B': 33, 'C': 4}",55,409.6,82.5,5.925,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,82.5,ns_unbounded,54,aged_battery,52.04,5020,3600.2,unseen,0,,0.1077
58,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",1,99.92,1.72,"{'A': 20, 'B': 30, 'C': 4}",54,427.8,41.9,7.905,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,41.9,ns_unbounded,53,aged_battery,50.05,5021,3600.1,unseen,0,,0.1464
57,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",1,99.92,1.696,"{'A': 19, 'B': 32, 'C': 4}",55,401.0,42.4,7.794,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,42.4,ns_unbounded,53,aged_battery,51.1,5022,3600.1,unseen,0,,0.1417
56,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",2,99.92,1.606,"{'A': 19, 'B': 31, 'C': 4}",54,514.6,43.1,8.111,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,43.1,ns_unbounded,54,aged_battery,49.94,5023,3600.4,unseen,0,,0.1502
57,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",1,99.92,1.649,"{'A': 21, 'B': 31, 'C': 4}",56,408.5,42.4,7.843,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,42.4,ns_unbounded,55,aged_battery,52.08,5024,3600.5,unseen,0,,0.1401
58,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",1,99.92,1.756,"{'A': 20, 'B': 31, 'C': 5}",56,392.8,43.0,7.771,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,43.0,ns_unbounded,54,aged_battery,52.11,5025,3600.3,unseen,0,,0.1388
58,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",1,99.92,1.712,"{'A': 20, 'B': 31, 'C': 5}",56,416.5,42.2,7.871,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,42.2,ns_unbounded,54,aged_battery,52.06,5026,3600.9,unseen,0,,0.1405
44,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",4,99.93,1.661,"{'A': 12, 'B': 30, 'C': 5}",47,442.3,71.1,6.559,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,71.1,ns_unbounded,47,aged_battery,43.72,5027,3600.2,unseen,0,,0.1396
58,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",1,99.92,1.757,"{'A': 21, 'B': 29, 'C': 4}",54,458.5,40.2,8.072,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,40.2,ns_unbounded,53,aged_battery,49.96,5028,3600.6,unseen,0,,0.1495
56,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",2,99.92,1.728,"{'A': 14, 'B': 29, 'C': 5}",48,468.0,43.4,7.954,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,43.4,ns_unbounded,48,aged_battery,44.02,5029,3600.1,unseen,0,,0.1657
53,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",6,99.93,1.881,"{'A': 21, 'B': 31, 'C': 4}",56,461.7,90.5,6.752,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,90.5,ns_unbounded,54,balanced,52.62,5000,3600.9,seen,0,,0.1206
61,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",2,99.91,1.607,"{'A': 20, 'B': 32, 'C': 4}",56,560.4,65.9,8.83,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,65.9,ns_unbounded,56,balanced,51.59,5001,3600.1,seen,0,,0.1577
